1 - 1000 - 9,000005 - 0,000003
1 - 1000 - 9,000005 - 0,000003
1 - 1000 - 9,000005 - 0,000005
1 - 2000 - 9,000001 - 0,000003
1 - 2000 - 9,000001 - 0,000003
1 - 2000 - 9,000001 - 0,000003
1 - 4000 - 9,000000 - 0,000005
1 - 4000 - 9,000000 - 0,000005
1 - 4000 - 9,000000 - 0,000005
1 - 8000 - 9,000000 - 0,000008
1 - 8000 - 9,000000 - 0,000008
1 - 8000 - 9,000000 - 0,000008
1 - 16000 - 9,000000 - 0,000015
1 - 16000 - 9,000000 - 0,000015
1 - 16000 - 9,000000 - 0,000015
2 - 1000 - 9,000005 - 0,000014
2 - 1000 - 9,000005 - 0,000010
2 - 1000 - 9,000005 - 0,000013
2 - 2000 - 9,000001 - 0,000010
2 - 2000 - 9,000001 - 0,000013
2 - 2000 - 9,000001 - 0,000007
2 - 4000 - 9,000000 - 0,000011
2 - 4000 - 9,000000 - 0,000014
2 - 4000 - 9,000000 - 0,000015
2 - 8000 - 9,000000 - 0,000018
2 - 8000 - 9,000000 - 0,000013
2 - 8000 - 9,000000 - 0,000019
2 - 16000 - 9,000000 - 0,000022
2 - 16000 - 9,000000 - 0,000028
2 - 16000 - 9,000000 - 0,000026
4 - 1000 - 9,000005 - 0,000022
4 - 1000 - 9,000005 - 0,000015
4 - 1000 - 9,000005 - 0,000033
4 - 2000 - 9,000001 - 0,000022
4 - 2000 - 9,000001 - 0,000020
4 - 2000 - 9,000001 - 0,000016
4 - 4000 - 9,000000 - 0,000017
4 - 4000 - 9,000000 - 0,000019
4 - 4000 - 9,000000 - 0,000023
4 - 8000 - 9,000000 - 0,000016
4 - 8000 - 9,000000 - 0,000052
4 - 8000 - 9,000000 - 0,000152
4 - 16000 - 9,000000 - 0,000025
4 - 16000 - 9,000000 - 0,000031
4 - 16000 - 9,000000 - 0,000025
8 - 1000 - 9,000005 - 0,000019
8 - 1000 - 9,000005 - 0,000026
8 - 1000 - 9,000005 - 0,000027
8 - 2000 - 9,000001 - 0,000022
8 - 2000 - 9,000001 - 0,000012
8 - 2000 - 9,000001 - 0,000020
8 - 4000 - 9,000000 - 0,000019
8 - 4000 - 9,000000 - 0,000033
8 - 4000 - 9,000000 - 0,000025
8 - 8000 - 9,000000 - 0,000026
8 - 8000 - 9,000000 - 0,000026
8 - 8000 - 9,000000 - 0,000024
8 - 16000 - 9,000000 - 0,000023
8 - 16000 - 9,000000 - 0,000018
8 - 16000 - 9,000000 - 0,000031
16 - 1000 - 9,000004 - 0,000092
16 - 1000 - 9,000004 - 0,000090
16 - 1000 - 9,000004 - 0,000052
16 - 2000 - 9,000001 - 0,000138
16 - 2000 - 9,000001 - 0,000033
16 - 2000 - 9,000001 - 0,000106
16 - 4000 - 9,000000 - 0,000168
16 - 4000 - 9,000000 - 0,000155
16 - 4000 - 9,000000 - 0,000105
16 - 8000 - 9,000000 - 0,000042
16 - 8000 - 9,000000 - 0,000082
16 - 8000 - 9,000000 - 0,000162
16 - 16000 - 9,000000 - 0,000028
16 - 16000 - 9,000000 - 0,000024
16 - 16000 - 9,000000 - 0,000104
